auction,price_eur,price_gbp,DeliveryDate,DeliveryInterval
DAM,103,93.162,2021/01/07,1
DAM,102.05,92.303,2021/01/07,1
DAM,102.17,92.411,2021/01/07,1
DAM,105.44,95.369,2021/01/07,1
DAM,95.44,86.324,2021/01/07,1
DAM,106.05,95.921,2021/01/07,1
DAM,160.56,145.224,2021/01/07,1
DAM,322.44,291.643,2021/01/07,1
DAM,156.72,141.751,2021/01/07,1
DAM,88.66,80.192,2021/01/07,1
DAM,65,58.792,2021/01/07,1
DAM,63.06,57.037,2021/01/07,1
DAM,59.06,53.419,2021/01/07,1
DAM,56.32,50.83,2021/01/08,1
DAM,52.67,47.536,2021/01/08,1
DAM,49.1,44.314,2021/01/08,1
DAM,47.68,43.032,2021/01/08,1
DAM,45.61,41.164,2021/01/08,1
DAM,47.03,42.446,2021/01/08,1
DAM,49.1,44.314,2021/01/08,1
DAM,54.92,49.567,2021/01/08,1
DAM,61,55.054,2021/01/08,1
DAM,68.73,62.031,2021/01/08,1
DAM,71.33,64.38,2021/01/08,1
DAM,81.54,73.592,2021/01/08,1
DAM,85.75,77.392,2021/01/08,1
DAM,87.01,78.529,2021/01/08,1
DAM,85,76.715,2021/01/08,1
DAM,81,73.105,2021/01/08,1
DAM,83.24,75.126,2021/01/08,1
DAM,153,138.087,2021/01/08,1
DAM,383.33,345.966,2021/01/08,1
DAM,178.58,161.173,2021/01/08,1
DAM,110.78,99.982,2021/01/08,1
DAM,88.89,80.226,2021/01/08,1
DAM,74.94,67.635,2021/01/08,1
DAM,69.56,62.78,2021/01/08,1
DAM,74.34,66.901,2021/01/09,1
DAM,68.1,61.285,2021/01/09,1
DAM,65.1,58.585,2021/01/09,1
DAM,63.44,57.091,2021/01/09,1
DAM,60,54,2021/01/09,1
DAM,59.79,53.807,2021/01/09,1
DAM,59.1,53.186,2021/01/09,1
DAM,59.79,53.807,2021/01/09,1
DAM,58.8,52.916,2021/01/09,1
DAM,66.17,59.548,2021/01/09,1
DAM,67.86,61.069,2021/01/09,1
DAM,73.72,66.343,2021/01/09,1
DAM,79,71.094,2021/01/09,1
DAM,81.56,73.398,2021/01/09,1
DAM,75.94,68.341,2021/01/09,1
DAM,70.1,63.085,2021/01/09,1
DAM,71.95,64.75,2021/01/09,1
DAM,104.9,94.4,2021/01/09,1
DAM,192.57,173.299,2021/01/09,1
DAM,131,117.891,2021/01/09,1
DAM,88.28,79.446,2021/01/09,1
DAM,72.02,64.81,2021/01/09,1
DAM,69.64,62.67,2021/01/09,1
DAM,68.32,61.483,2021/01/09,1
DAM,77.4,69.77,2021/01/10,1
DAM,69,62.196,2021/01/10,1
DAM,67,60.393,2021/01/10,1
DAM,63.94,57.635,2021/01/10,1
DAM,60.55,54.579,2021/01/10,1
DAM,58.99,53.173,2021/01/10,1
DAM,58.99,53.173,2021/01/10,1
DAM,60.03,54.11,2021/01/10,1
DAM,56.41,50.85,2021/01/10,1
DAM,59.95,54.04,2021/01/10,1
DAM,70.16,63.241,2021/01/10,1
DAM,74.93,67.541,2021/01/10,1
DAM,75.31,67.884,2021/01/10,1
DAM,82.89,74.716,2021/01/10,1
DAM,77.7,70.038,2021/01/10,1
DAM,72.05,64.945,2021/01/10,1
DAM,70.01,63.106,2021/01/10,1
DAM,98.5,88.79,2021/01/10,1
DAM,128.05,115.423,2021/01/10,1
DAM,99.16,89.382,2021/01/10,1
DAM,76.43,68.893,2021/01/10,1
DAM,68.17,61.448,2021/01/10,1
DAM,68.17,61.448,2021/01/10,1
DAM,56.45,50.883,2021/01/10,1
DAM,65.94,59.438,2021/01/11,1
DAM,55,49.576,2021/01/11,1
DAM,50,45.069,2021/01/11,1
DAM,43.85,39.526,2021/01/11,1
DAM,42,37.858,2021/01/11,1
DAM,42,37.858,2021/01/11,1
DAM,43.01,38.769,2021/01/11,1
DAM,43.01,38.769,2021/01/11,1
DAM,52.2,47.052,2021/01/11,1
DAM,53.86,48.549,2021/01/11,1
DAM,60.86,54.86,2021/01/11,1
DAM,62,55.886,2021/01/11,1
DAM,63.45,57.193,2021/01/11,1
DAM,65.06,58.644,2021/01/11,1
DAM,61.97,55.86,2021/01/11,1
DAM,61,54.985,2021/01/11,1
DAM,61.01,54.994,2021/01/11,1
DAM,84.37,76.05,2021/01/11,1
DAM,101.46,91.455,2021/01/11,1
DAM,95,85.632,2021/01/11,1
DAM,82,73.914,2021/01/11,1
DAM,69.87,62.98,2021/01/11,1
DAM,63,56.787,2021/01/11,1
DAM,57.88,52.172,2021/01/11,1
DAM,55.79,50.261,2021/01/12,1
DAM,51,45.946,2021/01/12,1
DAM,51.45,46.351,2021/01/12,1
DAM,51.45,46.351,2021/01/12,1
DAM,51.87,46.73,2021/01/12,1
DAM,54,48.649,2021/01/12,1
DAM,59,53.153,2021/01/12,1
DAM,64.61,58.207,2021/01/12,1
DAM,67.58,60.883,2021/01/12,1
DAM,69.99,63.054,2021/01/12,1
DAM,77.2,69.55,2021/01/12,1
DAM,82.31,74.153,2021/01/12,1
DAM,87.57,78.892,2021/01/12,1
DAM,91,81.982,2021/01/12,1
DAM,92.52,83.351,2021/01/12,1
DAM,85,76.577,2021/01/12,1
DAM,87.02,78.4,2021/01/12,1
DAM,154,138.739,2021/01/12,1
DAM,416.2,374.955,2021/01/12,1
DAM,199,179.279,2021/01/12,1
DAM,103.06,92.85,2021/01/12,1
DAM,78.59,70.802,2021/01/12,1
DAM,67,60.36,2021/01/12,1
DAM,60.84,54.811,2021/01/12,1
DAM,69.92,62.6,2021/01/13,1
DAM,61.08,54.682,2021/01/13,1
DAM,58.5,52.372,2021/01/13,1
DAM,56.61,50.68,2021/01/13,1
DAM,56.15,50.269,2021/01/13,1
DAM,56,50.134,2021/01/13,1
DAM,55.58,49.758,2021/01/13,1
DAM,62,55.506,2021/01/13,1
DAM,65.34,58.496,2021/01/13,1
DAM,74.25,66.473,2021/01/13,1
DAM,82.89,74.208,2021/01/13,1
DAM,90,80.573,2021/01/13,1
DAM,93.93,84.09,2021/01/13,1
DAM,94.53,84.628,2021/01/13,1
DAM,91.97,82.337,2021/01/13,1
DAM,90,80.573,2021/01/13,1
DAM,85,76.097,2021/01/13,1
DAM,160.23,143.447,2021/01/13,1
DAM,383.35,343.2,2021/01/13,1
DAM,310,277.529,2021/01/13,1
DAM,120,107.431,2021/01/13,1
DAM,84.14,75.327,2021/01/13,1
DAM,76.57,68.55,2021/01/13,1
DAM,71.93,64.396,2021/01/13,1
DAM,73.72,65.6,2021/01/14,1
DAM,65,57.839,2021/01/14,1
DAM,59.9,53.3,2021/01/14,1
DAM,56.58,50.347,2021/01/14,1
DAM,55,48.941,2021/01/14,1
DAM,53.44,47.553,2021/01/14,1
DAM,55.85,49.697,2021/01/14,1
DAM,65.09,57.92,2021/01/14,1
DAM,65.09,57.92,2021/01/14,1
DAM,67.6,60.153,2021/01/14,1
DAM,77.74,69.176,2021/01/14,1
DAM,83.56,74.355,2021/01/14,1
DAM,92.28,82.114,2021/01/14,1
DAM,100.07,89.046,2021/01/14,1
DAM,95.14,84.659,2021/01/14,1
DAM,92.22,82.061,2021/01/14,1
DAM,100,88.984,2021/01/14,1
DAM,215,191.315,2021/01/14,1
DAM,500,444.919,2021/01/14,1
DAM,450,400.427,2021/01/14,1
DAM,182,161.951,2021/01/14,1
DAM,120.25,107,2021/01/14,1
DAM,123.67,110.046,2021/01/14,1
DAM,88.2,78.484,2021/01/14,1
DAM,97.84,87.17,2021/01/15,1
DAM,83.26,74.18,2021/01/15,1
DAM,78.47,69.913,2021/01/15,1
DAM,74.17,66.082,2021/01/15,1
DAM,68.9,61.386,2021/01/15,1
DAM,68.44,60.976,2021/01/15,1
DAM,64.43,57.404,2021/01/15,1
DAM,68.7,61.208,2021/01/15,1
DAM,87,77.512,2021/01/15,1
DAM,92,81.967,2021/01/15,1
DAM,108.14,96.347,2021/01/15,1
DAM,93.26,83.09,2021/01/15,1
DAM,91.04,81.112,2021/01/15,1
DAM,85,75.731,2021/01/15,1
DAM,75.58,67.338,2021/01/15,1
DAM,68.87,61.36,2021/01/15,1
DAM,58.8,52.388,2021/01/15,1
DAM,82.16,73.2,2021/01/15,1
DAM,130.97,116.687,2021/01/15,1
DAM,83.26,74.18,2021/01/15,1
DAM,60,53.457,2021/01/15,1
DAM,51,45.438,2021/01/15,1
DAM,47.5,42.32,2021/01/15,1
DAM,32,28.51,2021/01/15,1
DAM,20,17.784,2021/01/16,1
DAM,15,13.338,2021/01/16,1
DAM,33,29.344,2021/01/16,1
DAM,30,26.676,2021/01/16,1
DAM,23.86,21.216,2021/01/16,1
DAM,19.13,17.01,2021/01/16,1
DAM,19.13,17.01,2021/01/16,1
DAM,28.75,25.565,2021/01/16,1
DAM,37,32.901,2021/01/16,1
DAM,50.5,44.905,2021/01/16,1
DAM,57.6,51.218,2021/01/16,1
DAM,65,57.8,2021/01/16,1
DAM,69.25,61.577,2021/01/16,1
DAM,73,64.912,2021/01/16,1
DAM,69.25,61.577,2021/01/16,1
DAM,66.69,59.301,2021/01/16,1
DAM,58.42,51.947,2021/01/16,1
DAM,77.3,68.736,2021/01/16,1
DAM,120.1,106.794,2021/01/16,1
DAM,101.54,90.29,2021/01/16,1
DAM,79.43,70.63,2021/01/16,1
DAM,65.89,58.59,2021/01/16,1
DAM,60.01,53.36,2021/01/16,1
DAM,55.14,49.031,2021/01/16,1
DAM,54.25,48.269,2021/01/17,1
DAM,49.98,44.47,2021/01/17,1
DAM,48.31,42.984,2021/01/17,1
DAM,47.9,42.619,2021/01/17,1
DAM,47,41.819,2021/01/17,1
DAM,48.08,42.78,2021/01/17,1
DAM,50.3,44.755,2021/01/17,1
DAM,56.29,50.085,2021/01/17,1
DAM,52.82,47,2021/01/17,1
DAM,59,52.496,2021/01/17,1
DAM,65.5,58.279,2021/01/17,1
DAM,67.58,60.13,2021/01/17,1
DAM,68.37,60.833,2021/01/17,1
DAM,73.05,65,2021/01/17,1
DAM,72.43,64.445,2021/01/17,1
DAM,67.76,60.29,2021/01/17,1
DAM,67.24,59.827,2021/01/17,1
DAM,80,71.181,2021/01/17,1
DAM,113.07,100.605,2021/01/17,1
DAM,93.81,83.468,2021/01/17,1
DAM,79.33,70.585,2021/01/17,1
DAM,71.39,63.52,2021/01/17,1
DAM,68.88,61.29,2021/01/17,1
DAM,65.96,58.69,2021/01/17,1
DAM,63.37,56.384,2021/01/18,1
DAM,57,50.716,2021/01/18,1
DAM,50,44.488,2021/01/18,1
DAM,50,44.488,2021/01/18,1
DAM,50,44.488,2021/01/18,1
DAM,50,44.488,2021/01/18,1
DAM,59.11,52.594,2021/01/18,1
DAM,65.43,58.22,2021/01/18,1
DAM,72,64.063,2021/01/18,1
DAM,77.02,68.529,2021/01/18,1
DAM,76.93,68.449,2021/01/18,1
DAM,76.07,67.684,2021/01/18,1
DAM,78.22,69.6,2021/01/18,1
DAM,80.55,71.67,2021/01/18,1
DAM,82.47,73.378,2021/01/18,1
DAM,79.8,71.003,2021/01/18,1
DAM,82.47,73.378,2021/01/18,1
DAM,98.35,87.508,2021/01/18,1
DAM,157,139.692,2021/01/18,1
DAM,140.49,125,2021/01/18,1
DAM,99.29,88.344,2021/01/18,1
DAM,79.09,70.37,2021/01/18,1
DAM,73.71,65.584,2021/01/18,1
DAM,65.42,58.21,2021/01/18,1
DAM,62.46,55.708,2021/01/19,1
DAM,55.09,49.135,2021/01/19,1
DAM,51.07,45.549,2021/01/19,1
DAM,47.8,42.633,2021/01/19,1
DAM,46.89,41.821,2021/01/19,1
DAM,47,41.919,2021/01/19,1
DAM,53,47.271,2021/01/19,1
DAM,62,55.298,2021/01/19,1
DAM,61.27,54.647,2021/01/19,1
DAM,62.97,56.163,2021/01/19,1
DAM,66.47,59.285,2021/01/19,1
DAM,66.56,59.365,2021/01/19,1
DAM,67.06,59.811,2021/01/19,1
DAM,68,60.649,2021/01/19,1
DAM,67.7,60.382,2021/01/19,1
DAM,65.72,58.616,2021/01/19,1
DAM,67.04,59.793,2021/01/19,1
DAM,83.04,74.064,2021/01/19,1
DAM,102.2,91.152,2021/01/19,1
DAM,93.8,83.66,2021/01/19,1
DAM,82.15,73.27,2021/01/19,1
DAM,74.45,66.402,2021/01/19,1
DAM,69,61.541,2021/01/19,1
DAM,66.51,59.32,2021/01/19,1
DAM,69.25,61.654,2021/01/20,1
DAM,63.14,56.21,2021/01/20,1
DAM,63.94,56.927,2021/01/20,1
DAM,60.8,54.131,2021/01/20,1
DAM,60.8,54.131,2021/01/20,1
DAM,60.8,54.131,2021/01/20,1
DAM,63.14,56.21,2021/01/20,1
DAM,69,61.432,2021/01/20,1
DAM,73.9,65.794,2021/01/20,1
DAM,81.72,72.756,2021/01/20,1
DAM,85.98,76.549,2021/01/20,1
DAM,90,80.128,2021/01/20,1
DAM,87,77.457,2021/01/20,1
DAM,98.66,87.838,2021/01/20,1
DAM,92.78,82.603,2021/01/20,1
DAM,85.98,76.549,2021/01/20,1
DAM,85.98,76.549,2021/01/20,1
DAM,100.4,89.387,2021/01/20,1
DAM,134.93,120.13,2021/01/20,1
DAM,109.14,97.169,2021/01/20,1
DAM,81.75,72.783,2021/01/20,1
DAM,71.37,63.542,2021/01/20,1
DAM,65,57.87,2021/01/20,1
DAM,65.29,58.13,2021/01/20,1
DAM,73.72,65.285,2021/01/21,1
DAM,63.9,56.589,2021/01/21,1
DAM,61.3,54.286,2021/01/21,1
DAM,52,46.05,2021/01/21,1
DAM,45,39.851,2021/01/21,1
DAM,41.75,36.973,2021/01/21,1
DAM,44.02,38.983,2021/01/21,1
DAM,55.91,49.513,2021/01/21,1
DAM,63.25,56.013,2021/01/21,1
DAM,64.77,57.359,2021/01/21,1
DAM,71.02,62.894,2021/01/21,1
DAM,72.48,64.187,2021/01/21,1
DAM,76,67.304,2021/01/21,1
DAM,80,70.847,2021/01/21,1
DAM,78.78,69.766,2021/01/21,1
DAM,75.46,66.826,2021/01/21,1
DAM,82,72.618,2021/01/21,1
DAM,111.71,98.928,2021/01/21,1
DAM,150.8,133.546,2021/01/21,1
DAM,145,128.409,2021/01/21,1
DAM,102.5,90.772,2021/01/21,1
DAM,89.54,79.295,2021/01/21,1
DAM,82.3,72.883,2021/01/21,1
DAM,78.31,69.35,2021/01/21,1
DAM,83,73.302,2021/01/22,1
DAM,73.47,64.886,2021/01/22,1
DAM,71.49,63.137,2021/01/22,1
DAM,65.71,58.03,2021/01/22,1
DAM,58,51.223,2021/01/22,1
DAM,58,51.223,2021/01/22,1
DAM,65.28,57.653,2021/01/22,1
DAM,68.21,60.24,2021/01/22,1
DAM,73.9,65.265,2021/01/22,1
DAM,82.34,72.719,2021/01/22,1
DAM,88.91,78.522,2021/01/22,1
DAM,88.52,78.177,2021/01/22,1
DAM,84.33,74.477,2021/01/22,1
DAM,84.37,74.512,2021/01/22,1
DAM,85,75.068,2021/01/22,1
DAM,78.74,69.54,2021/01/22,1
DAM,81.73,72.181,2021/01/22,1
DAM,109.96,97.112,2021/01/22,1
DAM,148.83,131.44,2021/01/22,1
DAM,130.02,114.828,2021/01/22,1
DAM,100,88.316,2021/01/22,1
DAM,85.8,75.775,2021/01/22,1
DAM,79,69.769,2021/01/22,1
DAM,73.44,64.859,2021/01/22,1
DAM,83.72,74.623,2021/01/23,1
DAM,77.94,69.471,2021/01/23,1
DAM,75.44,67.243,2021/01/23,1
DAM,71.43,63.669,2021/01/23,1
DAM,65,57.937,2021/01/23,1
DAM,64.12,57.153,2021/01/23,1
DAM,65.51,58.392,2021/01/23,1
DAM,67.56,60.219,2021/01/23,1
DAM,68.45,61.013,2021/01/23,1
DAM,73.37,65.398,2021/01/23,1
DAM,81.1,72.288,2021/01/23,1
DAM,87,77.547,2021/01/23,1
DAM,93,82.895,2021/01/23,1
DAM,92.18,82.164,2021/01/23,1
DAM,88.99,79.321,2021/01/23,1
DAM,82,73.09,2021/01/23,1
DAM,83.1,74.071,2021/01/23,1
DAM,104.18,92.86,2021/01/23,1
DAM,162.7,145.022,2021/01/23,1
DAM,130.27,116.116,2021/01/23,1
DAM,99.44,88.635,2021/01/23,1
DAM,81.1,72.288,2021/01/23,1
DAM,76.21,67.929,2021/01/23,1
DAM,71,63.285,2021/01/23,1
DAM,83.72,74.584,2021/01/24,1
DAM,76.5,68.151,2021/01/24,1
DAM,78,69.488,2021/01/24,1
DAM,76.5,68.151,2021/01/24,1
DAM,67.69,60.303,2021/01/24,1
DAM,64,57.016,2021/01/24,1
DAM,63.74,56.784,2021/01/24,1
DAM,65.51,58.361,2021/01/24,1
DAM,62.68,55.84,2021/01/24,1
DAM,62.76,55.911,2021/01/24,1
DAM,71.1,63.341,2021/01/24,1
DAM,76.03,67.733,2021/01/24,1
DAM,80.4,71.626,2021/01/24,1
DAM,84.71,75.465,2021/01/24,1
DAM,87,77.506,2021/01/24,1
DAM,79.24,70.592,2021/01/24,1
DAM,81.32,72.445,2021/01/24,1
DAM,98.71,87.938,2021/01/24,1
DAM,159.1,141.737,2021/01/24,1
DAM,132.14,117.719,2021/01/24,1
DAM,93.54,83.332,2021/01/24,1
DAM,75.77,67.501,2021/01/24,1
DAM,69.55,61.96,2021/01/24,1
DAM,65.7,58.53,2021/01/24,1
DAM,76.89,68.5,2021/01/25,1
DAM,77,68.597,2021/01/25,1
DAM,72.42,64.517,2021/01/25,1
DAM,69.86,62.236,2021/01/25,1
DAM,65.4,58.263,2021/01/25,1
DAM,64.99,57.898,2021/01/25,1
DAM,65.98,58.78,2021/01/25,1
DAM,70,62.361,2021/01/25,1
DAM,78.09,69.568,2021/01/25,1
DAM,84.13,74.949,2021/01/25,1
DAM,85,75.724,2021/01/25,1
DAM,83.34,74.245,2021/01/25,1
DAM,80.54,71.751,2021/01/25,1
DAM,83.08,74.013,2021/01/25,1
DAM,79,70.379,2021/01/25,1
DAM,76,67.706,2021/01/25,1
DAM,79,70.379,2021/01/25,1
DAM,104.6,93.185,2021/01/25,1
DAM,171.4,152.695,2021/01/25,1
DAM,144,128.285,2021/01/25,1
DAM,103.96,92.615,2021/01/25,1
DAM,83,73.942,2021/01/25,1
DAM,76,67.706,2021/01/25,1
DAM,69.36,61.79,2021/01/25,1
DAM,67.42,59.94,2021/01/26,1
DAM,63.12,56.117,2021/01/26,1
DAM,59.93,53.281,2021/01/26,1
DAM,57.96,51.529,2021/01/26,1
DAM,56.05,49.831,2021/01/26,1
DAM,54.29,48.266,2021/01/26,1
DAM,57.53,51.147,2021/01/26,1
DAM,61.17,54.383,2021/01/26,1
DAM,61,54.232,2021/01/26,1
